WigleWifi-1.4,appRelease=2.25,model=LG-D722,release=5.0.2,device=jagnm,display=LRX22G.A1442060254,board=MSM8226,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
ec:8c:a2:08:94:18,Ariel_University,[ESS],2017-11-02 12:34:59,1,-77,32.1034378,35.20824074,689,3,WIFI
1c:b9:c4:12:7c:c8,Ariel_University,[ESS],2017-11-02 12:34:59,11,-88,32.1034378,35.20824074,689,3,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],2017-11-02 12:34:59,11,-82,32.1034378,35.20824074,689,3,WIFI
30:e1:71:0d:e0:63,DIRECT-61-HP DeskJet 3630 series,[WPA2-PSK-CCMP][ESS],2017-11-02 12:34:59,6,-92,32.1034378,35.20824074,689,3,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],2017-11-02 12:34:59,1,-91,32.1034378,35.20824074,689,3,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],2017-11-02 12:34:59,11,-93,32.1034378,35.20824074,689,3,WIFI
42503_6791_2105347,Pelephone,UNKNOWN;il,2017-11-02 12:34:59,0,-113,32.1034378,35.20824074,689,3,GSM
50:8f:4c:72:04:21,moria's,[WPA2-PSK-CCMP][ESS],2017-11-02 12:35:01,1,-93,32.10344093,35.20820327,689,4,WIFI
14:ae:db:57:60:c5,Nata,[WPA2-PSK-CCMP][ESS],2017-11-02 12:35:01,11,-94,32.10344093,35.20820327,689,4,WIFI
ec:8c:a2:09:0c:c8,Ariel_University,[ESS],2017-11-02 12:35:01,1,-87,32.10344093,35.20820327,689,4,WIFI
00:12:2a:39:2c:3c,netbox-550b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 12:35:01,1,-94,32.10344093,35.20820327,689,4,WIFI
8c:59:c3:e8:f2:12,M9BLAT,[WPA2-PSK-CCMP][ESS],2017-11-02 12:35:01,11,-98,32.10344093,35.20820327,689,4,WIFI
14:ae:db:cb:05:f5,Mama,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2017-11-02 12:35:01,11,-98,32.10344093,35.20820327,689,4,WIFI
ec:8c:a2:08:78:38,Ariel_University,[ESS],2017-11-02 12:35:01,1,-88,32.10344093,35.20820327,689,4,WIFI
ec:8c:a2:09:8c:38,Ariel_University,[ESS],2017-11-02 12:35:01,1,-89,32.10344093,35.20820327,689,4,WIFI
ec:8c:a2:08:90:c8,Ariel_University,[ESS],2017-11-02 12:35:01,11,-97,32.10344093,35.20820327,689,4,WIFI
